0.1	rbf	0.5925	0.00797809501072	176
1.0	rbf	0.7889	0.0130265114286	199
10.0	rbf	0.7964	0.0141010637897	196
100.0	rbf	0.7964	0.0141010637897	196
0.1	poly	0.9979	0.00164012194669	203
1.0	poly	0.9979	0.00164012194669	202
10.0	poly	0.9979	0.00164012194669	202
100.0	poly	0.9979	0.00164012194669	202
0.1	sigmoid	0.5	0.0	154
1.0	sigmoid	0.5	0.0	154
10.0	sigmoid	0.5	0.0	155
100.0	sigmoid	0.5	0.0	154
0.1	linear	0.9998	0.0004	1909
1.0	linear	0.9998	0.0004	1845
10.0	linear	0.9998	0.0004	1829
100.0	linear	0.9998	0.0004	1815
